game_id,team,wr1_snap_share,skill_snap_share,ol_starter_share,ol_starters,season
2013_10_OAK_NYG,oak,0.79,0.45,0.968,5,2013
2013_10_PHI_GB,gb,0.95,0.41583333333333333,0.8960000000000001,5,2013
2013_10_PHI_GB,phi,0.92,0.45454545454545453,0.968,5,2013
2013_10_SEA_ATL,atl,0.98,0.38307692307692304,1.0,5,2013
2013_10_SEA_ATL,sea,0.81,0.45363636363636367,0.835,6,2013
2013_10_STL_IND,ind,0.8,0.4509090909090909,0.932,5,2013
2013_10_STL_IND,stl,0.78,0.39666666666666667,1.0,5,2013
2013_10_WAS_MIN,min,0.67,0.45272727272727276,1.0,5,2013
2013_10_WAS_MIN,was,0.84,0.4141666666666666,1.0,5,2013
2013_11_ARI_JAX,ari,0.93,0.4141666666666666,1.0,5,2013
2013_11_ARI_JAX,jax,0.93,0.45272727272727276,1.0,5,2013
2013_11_ATL_TB,atl,0.99,0.3830769230769231,0.8960000000000001,5,2013
2013_11_ATL_TB,tb,0.94,0.37999999999999995,0.962,5,2013
2013_11_BAL_CHI,bal,0.96,0.485,1.0,5,2013
2013_11_BAL_CHI,chi,1.0,0.3958333333333333,1.0,5,2013
2013_11_CLE_CIN,cin,0.87,0.3823076923076923,0.9460000000000001,5,2013
2013_11_CLE_CIN,cle,0.96,0.4518181818181818,1.0,5,2013
2013_11_DET_PIT,det,1.0,0.45454545454545453,1.0,5,2013
2013_11_DET_PIT,pit,0.87,0.44181818181818183,1.0,5,2013
2013_11_GB_NYG,gb,1.0,0.4527272727272727,1.0,5,2013
2013_11_GB_NYG,nyg,0.91,0.41083333333333333,1.0,5,2013
2013_11_IND_TEN,ind,0.76,0.39916666666666667,1.0,5,2013
2013_11_IND_TEN,ten,0.96,0.4166666666666667,1.0,5,2013
2013_11_KC_DEN,den,0.9,0.41583333333333333,1.0,5,2013
2013_11_KC_DEN,kc,0.87,0.41333333333333333,0.9460000000000001,5,2013
2013_11_MIN_SEA,min,0.65,0.45454545454545453,0.944,5,2013
2013_11_MIN_SEA,sea,0.94,0.4175,0.7916666666666666,6,2013
2013_11_NE_CAR,car,0.91,0.499,0.99,5,2013
2013_11_NE_CAR,ne,0.82,0.38384615384615384,0.994,5,2013
2013_11_NYJ_BUF,buf,0.94,0.41583333333333333,1.0,5,2013
2013_11_NYJ_BUF,nyj,0.88,0.41333333333333333,1.0,5,2013
2013_11_OAK_HOU,hou,0.99,0.4445454545454545,0.8133333333333334,6,2013
2013_11_OAK_HOU,oak,0.78,0.39916666666666667,0.9019999999999999,5,2013
2013_11_SD_MIA,mia,0.98,0.5,0.9800000000000001,5,2013
2013_11_SD_MIA,sd,0.8,0.45454545454545453,0.9800000000000001,5,2013
2013_11_SF_NO,no,0.68,0.395,0.9879999999999999,5,2013
2013_11_SF_NO,sf,0.86,0.37999999999999995,0.9400000000000001,5,2013
2013_11_WAS_PHI,phi,0.97,0.4183333333333334,1.0,5,2013
2013_11_WAS_PHI,was,0.89,0.41583333333333333,1.0,5,2013
2013_12_CAR_MIA,car,0.96,0.497,1.0,5,2013
2013_12_CAR_MIA,mia,1.0,0.499,0.9879999999999999,5,2013
2013_12_CHI_STL,chi,0.9,0.3983333333333334,1.0,5,2013
2013_12_CHI_STL,stl,0.82,0.38307692307692304,0.9179999999999999,5,2013
2013_12_DAL_NYG,dal,1.0,0.41583333333333333,1.0,5,2013
2013_12_DAL_NYG,nyg,0.99,0.45454545454545453,0.9339999999999999,5,2013
2013_12_DEN_NE,den,1.0,0.45454545454545453,1.0,5,2013
