nhl_game_id,season,goalie_id,goalie_name,team,xga,ga,gsax
2010020102,2010,8462152,Chris Mason,ATL,3.4907,4,-0.5093
2010020102,2010,8473607,Michal Neuvirth,WSH,4.3556,3,1.3556
2010020103,2010,8460712,Tomas Vokoun,FLA,3.0179,3,0.0179
2010020103,2010,8468481,Rick DiPietro,NYI,2.5442,4,-1.4558
2010020104,2010,8470147,Curtis McElhinney,ANA,4.6384,5,-0.3616
2010020104,2010,8470657,Jimmy Howard,DET,1.4393,4,-2.5607
2010020105,2010,8462161,Brent Johnson,PIT,2.4283,1,1.4283
2010020105,2010,8470860,Jaroslav Halak,STL,1.8813,0,1.8813
2010020106,2010,8470140,Kari Lehtonen,DAL,1.6546,1,0.6546
2010020106,2010,8471469,Pekka Rinne,NSH,2.5977,0,2.5977
2010020107,2010,8473461,Steve Mason,CBJ,2.9705,2,0.9705
2010020107,2010,8470645,Corey Crawford,CHI,2.1151,3,-0.8849
2010020108,2010,8467950,Craig Anderson,COL,2.6786,6,-3.3214
2010020108,2010,8471734,Jonathan Quick,L.A,2.1044,4,-1.8956
2010020109,2010,8468524,Ilya Bryzgalov,ARI,3.9006,4,-0.0994
2010020109,2010,8470320,Cam Ward,CAR,3.0223,3,0.0223
2010020110,2010,8459140,Nikolai Khabibulin,EDM,4.1105,6,-1.8895
2010020110,2010,8467511,Antero Niittymaki,S.J,1.7271,1,0.7271
2010020111,2010,8474765,Anders Lindback,NSH,3.5124,3,0.5124
2010020111,2010,8468540,Dan Ellis,T.B,1.9204,4,-2.0796
2010020112,2010,8455710,Martin Brodeur,N.J,3.2741,2,1.2741
2010020112,2010,0,,N.J,0.4453,1,-0.5547
2010020112,2010,8468685,Henrik Lundqvist,NYR,1.798,1,0.798
2010020113,2010,8462147,Miikka Kiprusoff,CGY,1.1855,0,1.1855
2010020113,2010,8474550,Antti Niemi,S.J,0.4342,3,-2.5658
2010020113,2010,8467511,Antero Niittymaki,S.J,2.0889,1,1.0889
2010020114,2010,8464999,Mathieu Garon,CBJ,1.6564,1,0.6564
2010020114,2010,8462052,Brian Boucher,PHI,1.753,2,-0.247
2010020114,2010,0,,PHI,0.4791,0,0.4791
2010020115,2010,8468524,Ilya Bryzgalov,ARI,1.9418,3,-1.0582
2010020115,2010,8471679,Carey Price,MTL,1.7493,2,-0.2507
2010020116,2010,8471734,Jonathan Quick,L.A,2.4893,2,0.4893
2010020116,2010,8473404,Niklas Backstrom,MIN,4.5843,2,2.5843
2010020117,2010,8466339,Scott Clemmensen,FLA,1.6373,3,-1.3627
2010020117,2010,0,,FLA,0.9721,0,0.9721
2010020117,2010,8462044,Jean-Sebastien Giguere,TOR,1.8293,1,0.8293
2010020118,2010,8468011,Ryan Miller,BUF,4.0087,5,-0.9913
2010020118,2010,0,,BUF,0.6951,1,-0.3049
2010020118,2010,8475683,Sergei Bobrovsky,PHI,3.8847,3,0.8847
2010020119,2010,8467391,Jason LaBarbera,ARI,1.9968,3,-1.0032
2010020119,2010,8468524,Ilya Bryzgalov,ARI,2.3709,2,0.3709
2010020119,2010,8470880,Brian Elliott,OTT,1.8724,2,-0.1276
2010020120,2010,8462147,Miikka Kiprusoff,CGY,1.7315,4,-2.2685
2010020120,2010,8459140,Nikolai Khabibulin,EDM,3.1892,4,-0.8108
2010020121,2010,8473972,Jonas Hiller,ANA,3.6311,2,1.6311
2010020121,2010,8470140,Kari Lehtonen,DAL,2.2324,5,-2.7676
2010020122,2010,8469514,Peter Budaj,COL,2.5895,4,-1.4105
2010020122,2010,8466141,Roberto Luongo,VAN,2.3858,3,-0.6142
2010020123,2010,8462152,Chris Mason,ATL,2.8763,4,-1.1237
2010020123,2010,8462047,Martin Biron,NYR,3.5167,5,-1.4833
2010020123,2010,0,,NYR,0.7504,1,-0.2496
2010020124,2010,8470320,Cam Ward,CAR,3.3317,2,1.3317
2010020124,2010,0,,CAR,0.5438,1,-0.4562
2010020124,2010,8473607,Michal Neuvirth,WSH,1.8401,0,1.8401
2010020125,2010,8471679,Carey Price,MTL,2.3327,3,-0.6673
2010020125,2010,8460806,Dwayne Roloson,NYI,2.8228,4,-1.1772
2010020125,2010,0,,NYI,0.7879,1,-0.2121
2010020126,2010,8470594,Marc-Andre Fleury,PIT,3.214,4,-0.786
2010020126,2010,0,,PIT,0.9358,1,-0.0642
2010020126,2010,8469608,Mike Smith,T.B,0.5809,3,-2.4191
2010020126,2010,8468540,Dan Ellis,T.B,2.6942,0,2.6942
2010020127,2010,8460612,Marty Turco,CHI,2.2839,1,1.2839
2010020127,2010,8473541,Jonathan Bernier,L.A,1.8762,3,-1.1238
2010020128,2010,8455710,Martin Brodeur,N.J,3.4039,5,-1.5961
2010020128,2010,8467511,Antero Niittymaki,S.J,2.2789,2,0.2789
2010020129,2010,8460703,Tim Thomas,BOS,1.1143,0,1.1143
2010020129,2010,8475361,Jonas Gustavsson,TOR,2.0856,2,0.0856
2010020130,2010,8468524,Ilya Bryzgalov,ARI,3.8286,2,1.8286
2010020130,2010,8458568,Chris Osgood,DET,2.1902,3,-0.8098
2010020130,2010,0,,DET,0.7691,1,-0.2309
2010020131,2010,8473461,Steve Mason,CBJ,2.9689,2,0.9689
2010020131,2010,8471227,Devan Dubnyk,EDM,3.1298,2,1.1298
2010020132,2010,8460712,Tomas Vokoun,FLA,2.8495,5,-2.1505
2010020132,2010,0,,FLA,0.4422,0,0.4422
2010020132,2010,8470880,Brian Elliott,OTT,3.3734,3,0.3734
2010020133,2010,8471469,Pekka Rinne,NSH,3.8288,3,0.8288
2010020133,2010,8470860,Jaroslav Halak,STL,2.2713,0,2.2713
