game_id,home_rapm,away_rapm
2019021063,-0.01385,0.00706
2019021064,-0.01923,0.0012
2019021065,-0.01431,-0.01189
2019021066,-0.00591,0.00253
2019021067,-0.01044,0.0029
2019021068,0.03935,-0.00683
2019021069,0.00275,-0.00453
2019021070,-0.0287,-0.00057
2019021071,0.01148,0.00346
2019021072,-0.01254,0.00251
2019021073,0.00439,0.00744
2019021074,-0.01366,0.01832
2019021075,-0.00452,-0.00541
2019021076,0.00952,-0.00406
2019021077,-0.02485,0.03269
2019021078,-0.01385,-0.03061
2019021079,-0.01396,-0.01512
2019021080,0.02465,-0.01044
2019021081,0.00029,-0.00961
2019021082,0.00275,-0.03061
2019030001,0.00812,0.00525
2019030002,-0.00394,0.00167
2019030003,0.00591,-0.00622
2019030004,0.00056,-0.00901
2019030005,-0.00682,0.00481
2019030006,-0.00394,-0.00355
2019030011,0.00223,-0.00509
2019030012,0.00424,0.00844
2019030013,0.01256,0.01278
2019030014,-0.00652,0.00424
2019030015,0.01278,0.00424
2019030016,0.00594,0.00452
2019030021,0.00681,0.00101
2019030022,0.00681,0.00101
2019030023,-0.00057,0.01221
2019030024,-0.00057,0.00681
2019030031,0.02091,-0.01002
2019030032,0.02091,-0.01874
2019030033,-0.01426,0.02091
2019030041,0.03496,-0.00138
2019030042,0.03912,-0.00353
2019030043,-0.00227,0.03912
2019030044,-0.00227,0.03687
2019030051,-0.02292,0.009
2019030052,-0.03344,0.009
2019030053,0.00145,-0.03042
2019030054,0.00745,-0.03042
2019030055,-0.03463,0.00531
2019030061,0.03684,-0.01042
2019030062,0.03684,-0.01736
2019030063,-0.01042,0.02345
2019030064,-0.01042,0.02312
2019030071,0.00563,-0.00786
2019030072,0.00563,-0.00786
2019030073,-0.01104,0.00563
2019030074,-0.01104,0.00563
2019030081,-0.00837,0.00894
2019030082,-0.00427,0.00894
2019030083,0.00937,-0.0012
2019030084,-0.00106,-0.00107
2019030091,-0.01158,-0.01044
2019030092,-0.01158,-0.00078
2019030093,-0.00078,-0.00287
2019030094,-0.00078,-0.00287
2019030111,-0.00711,-0.00057
2019030112,-0.00711,-0.0032
2019030113,-0.0032,0.00525
2019030114,-0.0032,0.00746
2019030115,0.00746,-0.00307
2019030116,-0.00282,0.0047
2019030121,-0.00394,0.0095
2019030122,-0.00394,0.00619
2019030123,0.00619,-0.00394
2019030124,0.00951,-0.00394
2019030125,-0.00394,0.00951
2019030131,-0.00814,0.03687
2019030132,-0.00018,0.03687
2019030133,0.03687,0.00238
2019030134,0.03687,0.00436
2019030135,0.00207,0.02871
2019030141,0.00552,0.01162
2019030142,0.00231,0.01488
2019030143,0.01558,0.01319
2019030144,0.02235,0.01319
2019030145,0.01164,0.02235
2019030151,0.00344,-0.01042
2019030152,0.00424,-0.01042
2019030153,-0.01042,0.00298
2019030154,-0.01042,0.00298
2019030155,0.00344,-0.00712
2019030161,0.01278,-0.01104
2019030162,0.00891,-0.01104
2019030163,-0.01104,0.00705
2019030164,-0.01104,0.00705
2019030165,0.00705,-0.00523
2019030171,0.00844,-0.00287
2019030172,0.00779,-0.00287
2019030173,-0.0076,0.00779
2019030174,-0.0076,0.00779
2019030175,0.00779,-0.0076
2019030176,-0.00161,0.00807
2019030181,-0.00088,-0.0012
2019030182,0.00594,-0.0012
2019030183,-0.00263,-0.00795
2019030184,-0.00263,-0.00795
2019030185,-0.01628,-0.01032
2019030186,-0.01032,-0.02249
2019030211,-0.00519,0.04157
2019030212,0.00216,0.04157
2019030213,0.03687,0.00194
2019030214,0.03687,0.00194
2019030215,0.00194,0.03687
2019030216,0.03687,0.00423
2019030217,0.00669,0.0346
2019030221,-0.00394,0.00637
2019030222,-0.00288,0.00637
2019030223,-0.00348,-0.00288
2019030224,-0.00698,-0.00288
2019030225,-0.00438,-0.00606
2019030231,0.00344,-0.01032
2019030232,0.00344,-0.01527
2019030233,-0.01527,0.00344
2019030234,-0.01384,-0.00603
2019030235,0.00344,-0.01384
2019030236,-0.01384,0.00344
2019030237,0.00518,-0.01384
2019030241,0.00188,0.00779
2019030242,-0.00726,0.00779
2019030243,0.00779,-0.01058
2019030244,0.00779,-0.01058
2019030245,-0.00925,0.00779
2019030246,0.00779,-0.00925
2019030247,-0.01854,0.01291
2019030311,-0.00438,0.03681
2019030312,-0.00438,0.03926
2019030313,0.0347,-0.00417
2019030314,0.0369,-0.00438
2019030315,-0.0086,0.03671
2019030316,0.03481,-0.00438
2019030321,-0.00374,0.01291
2019030322,0.00518,0.01291
2019030323,0.01291,0.00518
2019030324,0.01548,0.00344
2019030325,0.00344,0.01548
2019030411,-0.00438,0.01548
2019030412,-0.00622,0.01548
2019030413,0.01314,-0.00577
2019030414,0.01314,-0.00622
2019030415,-0.00622,0.01319
2019030416,0.01319,-0.00394
2020020001,-0.01019,0.02953
2020020002,-0.00113,0.01343
2020020003,0.00724,-0.01759
2020020004,-0.01597,-0.00118
2020020005,-0.02799,-0.03104
2020020006,-0.00699,-0.00932
2020020007,-0.01285,0.00964
2020020008,-0.0101,0.03807
2020020009,-0.0081,0.02293
2020020010,-0.00542,0.00555
2020020011,-0.0023,0.00097
2020020012,-0.02001,0.01436
2020020013,-0.01492,-0.00118
2020020014,0.01092,-0.01154
2020020015,-0.02245,-0.00762
2020020016,-0.0105,0.01546
2020020017,-0.00699,-0.00932
2020020018,-0.01019,0.02185
2020020019,-0.00673,0.00959
2020020020,-0.01557,0.02143
2020020021,-0.01423,0.00724
2020020022,-0.02799,-0.03723
2020020023,-0.01285,-0.00037
2020020024,-0.01776,0.03807
2020020025,-0.00922,-0.00071
2020020026,-0.00432,0.00097
2020020027,-0.00938,0.00761
2020020028,0.00831,-0.00118
2020020029,-0.0193,-0.01759
2020020030,0.01092,-0.0161
2020020031,-0.02245,-0.00762
2020020032,-0.00408,0.01546
2020020033,-0.00528,0.03358
2020020034,-0.00445,0.00959
2020020035,0.02202,-0.00543
2020020036,0.03807,0.00857
2020020037,-0.00727,-0.00699
2020020038,-0.01709,0.00097
2020020039,-0.03152,-0.00802
2020020040,-0.00432,-0.00071
2020020041,0.00724,-0.00042
2020020042,0.00831,-0.00308
2020020043,-0.00383,-0.01759
2020020044,-0.01968,0.01945
2020020045,-0.00279,0.01546
2020020046,-0.01776,-0.01285
2020020047,-0.00727,0.00653
2020020048,-0.00207,0.03358
2020020049,-0.01722,0.00071
2020020050,0.0355,-0.00543
2020020051,-0.01709,0.00097
2020020052,-0.01334,0.01054
2020020053,-0.01393,-0.00042
2020020054,-0.01061,-0.0058
2020020055,-0.02809,-0.01115
2020020056,0.00724,0.00204
2020020057,-0.00244,-0.01759
2020020058,-0.01968,0.02061
2020020059,-0.02106,0.01109
2020020060,0.00857,-0.00985
2020020061,0.03807,-0.01285
2020020062,0.00806,-0.00941
2020020063,0.00097,-0.00673
2020020064,-0.01173,-0.00284
2020020065,-0.00541,-0.01759
2020020066,-0.00619,-0.01705
2020020067,0.00671,-0.00699
2020020068,0.03438,-0.01387
2020020069,0.00071,-0.01881
2020020070,0.03053,-0.00613
2020020071,0.01069,-0.01115
2020020072,0.01944,-0.00412
2020020073,0.01451,-0.02245
2020020074,-0.01385,-0.0142
2020020075,0.01017,-0.00985
2020020076,0.00913,-0.00545
2020020077,0.01618,-0.00245
2020020078,-0.03152,-0.00308
2020020079,-0.00456,-0.02891
2020020080,0.0013,-0.02415
2020020081,-0.01676,0.03849
2020020082,0.00567,-0.00761
2020020083,0.03438,-0.03122
2020020084,-0.0018,-0.02173
2020020085,-0.03576,-0.00308
2020020086,-0.00927,-0.00613
2020020087,0.00863,0.02343
2020020088,0.01069,-0.0106
2020020089,0.01845,0.00351
2020020090,0.01451,-0.01968
2020020091,-0.01385,-0.01131
2020020092,0.0013,-0.02305
2020020093,0.01017,0.0334
2020020094,-0.00304,-0.01789
2020020095,-0.01676,-0.0081
2020020096,0.0031,0.052
2020020097,0.01054,-0.011
2020020098,0.02024,-0.01546
2020020099,-0.00412,0.01125
2020020100,-0.00927,0.00331
2020020101,0.00863,0.01632
2020020102,0.01109,-0.00308
2020020103,0.01447,-0.02173
2020020104,-0.02206,-0.0106
2020020105,0.01502,0.00306
2020020106,-0.01968,-0.02969
2020020107,-0.00204,0.00098
2020020108,0.00194,-0.02054
2020020109,0.0209,0.02923
2020020110,-0.00304,-0.02341
2020020111,-0.01447,-0.0084
2020020112,0.00242,0.05557
2020020113,-0.01893,-0.00748
2020020114,0.02163,-0.01315
2020020115,-0.02415,0.00863
2020020116,-0.02065,0.00161
2020020117,-0.001,-0.01199
2020020118,0.01109,-0.00839
2020020119,0.01854,-0.02139
2020020120,-0.02206,-0.01199
2020020121,0.01502,0.0005
2020020122,-0.01173,-0.05943
2020020123,0.00098,0.02163
2020020124,0.00176,-0.01756
2020020125,-0.02341,0.018
2020020126,-0.02024,0.05557
2020020127,-0.00233,0.00308
2020020128,-0.01893,0.02112
2020020129,-0.00748,-0.00412
2020020130,-0.02632,-0.01484
2020020131,-0.02415,0.01436
2020020132,-0.00927,-0.001
2020020133,-0.02489,0.03171
2020020134,0.01453,-0.03135
2020020135,-0.00469,-0.04314
2020020136,-0.00041,-0.01388
2020020137,-0.00204,0.0368
2020020138,-0.02071,0.02809
2020020139,-0.02051,-0.01484
2020020140,0.00674,0.02163
2020020141,-0.013,-0.00886
2020020142,0.00313,-0.0386
2020020143,-0.00174,-0.04314
2020020144,-0.01221,0.0174
2020020145,-0.00878,0.00308
2020020146,-0.00802,-0.01636
2020020147,-0.0162,-0.00904
2020020148,-0.00456,0.01436
2020020149,-0.01165,-0.02714
2020020150,0.04056,-0.02845
2020020151,0.03404,-0.01671
2020020152,0.01022,0.03361
2020020153,-0.00173,-0.00673
2020020154,-0.04314,0.01428
2020020155,-0.02051,-0.001
2020020156,-0.00456,0.01436
2020020157,-0.00794,-0.00929
2020020158,-0.04458,0.00313
2020020159,-0.01515,0.00837
2020020160,-0.00802,-0.02526
2020020161,-0.0172,-0.00994
2020020162,-0.02062,-0.02925
2020020163,0.04206,-0.00501
2020020164,-0.02173,0.00285
2020020165,-0.00726,-0.01255
2020020166,0.03291,-0.0049
2020020167,0.01724,0.03421
2020020168,-0.00173,-0.00276
2020020169,-0.04194,0.02065
2020020170,-0.02415,-0.01191
2020020171,-0.0097,-0.00661
2020020172,-0.01341,0.01545
2020020173,-0.02686,0.0136
2020020174,-0.00914,0.00837
2020020175,-0.00802,-0.02281
2020020176,-0.00967,-0.01676
2020020177,-0.0271,-0.01463
2020020178,-0.00883,-0.0106
2020020179,0.0115,-0.01536
2020020180,-0.01622,-0.01888
2020020181,0.05599,0.01738
2020020182,-0.04899,-0.03071
2020020183,-0.01191,-0.02415
2020020184,-0.00141,0.0043
2020020185,0.02562,-0.00725
2020020186,0.00784,0.0073
2020020187,-0.00883,-0.01406
2020020188,0.0077,-0.01787
2020020189,-0.00318,-0.02267
2020020190,0.02007,0.00267
2020020191,-0.0447,-0.02058
2020020192,0.00941,0.00919
2020020193,0.02897,-0.00173
2020020194,-0.0271,-0.01581
2020020195,-0.01181,-0.00976
2020020196,-0.02173,0.05599
2020020197,0.01868,0.00165
2020020198,-0.01808,-0.00645
2020020199,-0.01191,-0.00501
2020020200,0.00636,-0.01601
2020020201,-0.01402,0.03964
2020020202,-0.0061,-0.01738
2020020203,-0.00541,-0.02725
2020020204,-0.01793,-0.00645
2020020205,-0.02076,-0.0147
2020020206,0.0232,-0.01416
2020020207,0.0136,-0.0377
2020020208,0.03082,-0.0196
2020020209,-0.03408,0.00809
2020020210,-0.0271,-0.00994
2020020211,-0.01581,-0.01406
2020020212,-0.02173,0.00274
2020020213,-0.02514,-0.0004
2020020214,-0.01412,-0.01931
2020020215,0.05599,0.03927
2020020216,-0.0079,-0.01156
2020020217,-0.00639,-0.01106
2020020218,-0.00896,0.00917
2020020219,-0.0091,-0.02725
2020020220,-0.01759,-0.0085
2020020221,-0.02116,-0.02085
2020020222,-0.0104,0.0232
2020020223,0.01379,-0.0535
2020020224,0.02474,0.00267
2020020225,-0.03088,0.00799
2020020226,-0.02714,0.00087
2020020227,-0.01981,-0.0106
2020020228,-0.01691,0.00434
2020020229,-0.00489,-0.01078
2020020230,0.05599,0.00528
2020020231,-0.01683,-0.00265
2020020232,-0.00541,-0.02149
2020020233,-0.00266,0.00227
2020020234,-0.0091,-0.02039
2020020235,-0.0004,-0.00454
2020020236,-0.0157,-0.02098
2020020237,-0.00559,0.0232
2020020238,0.02299,0.01084
2020020239,-0.00625,-0.04449
2020020240,0.00357,0.00941
2020020241,-0.02498,0.01016
2020020242,0.03243,-0.00932
2020020243,-0.02714,-0.03506
2020020244,0.00263,-0.01386
2020020245,-0.026,0.05599
2020020246,-0.02039,-0.00525
2020020247,0.00676,-0.02098
2020020248,-0.0147,-0.01095
2020020249,-0.00559,0.01604
2020020250,0.03537,-0.0042
2020020251,0.00262,-0.04449
2020020252,-0.01551,-0.01155
2020020253,-0.00645,0.04206
2020020254,-0.04183,-0.01103
2020020255,0.00806,0.00297
2020020256,-0.01687,-0.00035
2020020257,0.04043,-0.00932
2020020258,0.02162,-0.01112
2020020259,-0.02924,-0.03506
2020020260,-0.01756,-0.00929
2020020261,-0.02039,-0.00465
2020020262,0.00676,-0.01213
2020020263,0.02563,-0.00559
2020020264,-0.00062,-0.01095
2020020265,0.00477,-0.01931
2020020266,-0.00777,-0.04077
2020020267,0.03479,0.04163
2020020268,0.00917,-0.01562
2020020269,-0.04777,-0.01497
2020020270,-0.02319,-0.01754
2020020271,0.03115,-0.00604
2020020272,0.00997,-0.00887
2020020273,-0.0099,0.01561
2020020274,0.00806,-0.00465
2020020275,-0.02814,-0.00941
2020020276,0.03616,0.00164
2020020277,-0.00559,-0.00769
2020020278,-0.01917,-0.01014
2020020279,-0.00932,-0.03138
2020020280,0.01463,-0.02345
2020020281,0.03479,0.05212
2020020282,0.00677,-0.00852
2020020283,-0.03978,-0.01497
2020020284,-0.00963,0.00676
2020020285,0.00164,0.02107
2020020286,0.02177,-0.00604
2020020287,-0.02678,-0.02924
2020020288,0.01448,-0.00615
2020020289,-0.00916,0.01456
2020020290,0.00413,-0.01406
2020020291,-0.01604,-0.02781
2020020292,-0.01619,-0.00941
2020020293,-0.01431,-0.01843
2020020294,-0.00917,-0.01729
2020020295,-0.01814,-0.02268
2020020296,-0.00902,0.00889
2020020297,-0.04228,-0.0042
2020020298,-0.01139,0.02356
2020020299,-0.02678,-0.03293
2020020300,0.01448,-0.00971
2020020301,-0.01347,0.04206
2020020302,-0.00932,0.04043
2020020303,-0.0081,0.02071
2020020304,0.01725,0.01753
2020020305,-0.01234,-0.00699
2020020306,-0.01524,-0.02639
2020020307,-0.00917,0.00472
2020020308,-0.0125,-0.0216
2020020309,-0.04651,-0.00113
2020020310,0.01107,0.02356
2020020311,0.01448,-0.01389
2020020312,0.05212,0.00936
2020020313,-0.00932,0.03874
2020020314,-0.01489,0.01054
2020020315,0.00442,0.02071
2020020316,0.00595,0.01753
2020020317,-0.01164,-0.00699
2020020318,-0.00856,0.01669
2020020319,-0.00992,-0.0098
2020020320,-0.00978,-0.00438
2020020321,0.01378,-0.02931
2020020322,-0.00716,-0.00796
2020020323,-0.01687,0.00936
2020020324,0.0136,-0.00113
2020020325,-0.01161,-0.02168
2020020326,-0.00871,-0.05573
2020020327,-0.01642,-0.00573
2020020328,0.04368,0.02573
2020020329,-0.00447,0.02516
2020020330,-0.00039,0.01054
2020020331,0.01753,-0.01217
2020020332,-0.01231,0.00595
2020020333,-0.00856,0.01669
2020020334,-0.00992,-0.01063
2020020335,0.00698,0.01121
2020020336,0.0136,-0.0042
2020020337,0.02267,-0.0341
2020020338,-0.01198,-0.03293
2020020339,-0.01096,-0.05143
2020020340,-0.02451,-0.00086
2020020341,0.04368,0.02573
2020020342,-0.01687,0.00629
2020020343,0.01753,-0.01891
2020020344,-0.00965,0.00595
2020020345,-0.00992,-0.00687
2020020346,-0.01347,-0.00573
2020020347,-0.00528,0.02437
2020020348,-0.00399,0.01054
2020020349,-0.00575,0.01705
2020020350,-0.00312,0.01121
2020020351,-0.02803,0.0136
2020020352,-0.014,-0.04384
2020020353,-0.01103,-0.03811
2020020354,-0.01888,-0.00501
2020020355,0.02552,0.0018
2020020356,0.00595,-0.00874
2020020357,-0.01063,-0.01699
2020020358,-0.01729,-0.00687
2020020359,0.01606,-0.00932
2020020360,-0.00326,0.00676
2020020361,-0.02803,0.00521
2020020362,-0.02074,-0.04384
2020020363,-0.01012,-0.03811
2020020364,-0.0235,-0.0153
2020020365,0.00971,-0.00874
2020020366,0.02154,0.00206
2020020367,0.01753,-0.00748
2020020368,-0.00141,-0.00389
2020020369,-0.01063,-0.01729
2020020370,0.03125,-0.0076
2020020371,0.0011,0.00524
2020020372,0.0263,0.00595
2020020373,0.01212,-0.00932
2020020374,-0.01448,-0.02344
2020020375,0.04206,-0.00734
2020020376,0.01753,-0.00768
2020020377,-0.03971,-0.00756
2020020378,0.01378,0.0105
2020020379,-0.00053,-0.04384
2020020380,-0.00835,-0.02924
2020020381,-0.00748,-0.00545
2020020382,-0.02639,-0.01729
2020020383,-0.01262,0.02542
2020020384,0.0011,0.00676
2020020385,0.02788,0.00595
2020020386,-0.04422,-0.00862
2020020387,0.02189,0.0105
2020020388,-0.00053,-0.05573
2020020389,-0.00955,-0.0286
2020020390,-0.00491,-0.02128
2020020391,0.04206,-0.03144
2020020392,-0.00932,-0.01407
2020020393,0.03981,-0.01475
2020020394,0.01012,-0.00953
2020020395,0.0207,-0.01661
2020020396,-0.01117,-0.01129
2020020397,0.0011,-0.02639
2020020398,0.01037,-0.02571
2020020399,-0.02859,0.02078
2020020400,-0.00077,0.00188
2020020401,0.05212,0.01032
2020020402,-0.01835,-0.01333
2020020403,-0.01536,-0.01386
2020020404,0.01054,-0.00095
2020020405,0.04637,-0.01988
2020020406,0.00595,-0.01378
2020020407,-0.0124,-0.00604
2020020408,0.00676,-0.01729
2020020409,0.02474,0.01253
2020020410,0.0059,-0.01661
2020020411,0.0011,-0.02639
2020020412,0.01037,-0.01974
2020020413,-0.03003,0.01138
2020020414,-0.00947,-0.00179
2020020415,0.00443,-0.01699
2020020416,-0.02366,0.03375
2020020417,0.04206,-0.01386
2020020418,-0.01854,-0.01432
2020020419,0.00554,-0.01185
2020020420,0.00231,-0.01378
2020020421,-0.01754,-0.00604
2020020422,0.02045,-0.01479
2020020423,0.01827,-0.02397
2020020424,0.02474,0.0156
2020020425,-0.044,-0.01974
2020020426,-0.01287,-0.02302
2020020427,0.0136,0.0125
2020020428,-0.03003,-0.00421
2020020429,-0.00947,-0.00729
2020020430,0.01032,-0.02629
2020020431,-0.01702,0.03375
2020020432,-0.01386,0.04633
2020020433,-0.0107,-0.01536
