gsis_id,player,bucket,mu,sigma,snaps,cons,rating_0_100,active_2025,tier
00-0030404,Chris Thompson,RB,24.994,4.092,1515,12.717,17.7,0,D
00-0030533,Matt Barkley,QB,25.393,4.669,581,11.385,17.7,0,D
00-0034125,Kendal Vickers,DL,24.916,3.48,584,14.475,17.7,0,D
00-0037279,Marcus McKethan,OL,26.216,3.327,355,16.235,17.7,0,D
00-0039696,Evan Anderson,DL,24.947,3.491,254,14.473,17.7,0,D
00-0040010,Barryn Sorrell,DL,24.184,3.353,190,14.126,17.7,1,D
00-0031176,Nevin Lawson,DB,25.743,3.584,3578,14.99,17.6,0,D
00-0032496,Matthias Farley,DB,26.568,3.857,1388,14.998,17.6,0,D
00-0031016,Ross Cockrell,DB,25.917,3.643,3173,14.988,17.6,0,D
00-0032160,Tyrell Williams,WR,25.278,3.932,3215,13.481,17.6,0,D
00-0027854,Sam Bradford,QB,25.293,4.645,1144,11.357,17.6,0,D
00-0031064,Tom Savage,QB,25.265,4.643,522,11.336,17.6,0,D
00-0035315,Cortez Broughton,DL,25.521,5.348,113,9.477,17.6,0,D
00-0036277,Quintez Cephus,WR,24.893,3.799,592,13.496,17.6,0,D
00-0032116,Darius Philon,DL,25.729,3.764,1623,14.436,17.5,0,D
00-0028411,Dontrelle Inman,WR,25.307,3.948,2244,13.464,17.5,0,D
00-0034331,Jaylen Samuels,RB,25.107,4.147,690,12.666,17.5,0,D
00-0031787,Jake Kumerow,WR,25.085,3.873,696,13.465,17.5,0,D
00-0037585,Timmy Horne,DL,25.096,3.556,421,14.428,17.5,0,D
00-0027993,Rodney Hudson,OL,25.78,3.198,6002,16.186,17.4,0,D
00-0032434,Brandon Allen,QB,22.141,3.616,614,11.294,17.4,1,D
00-0032758,Vernon Hargreaves III,DB,25.605,3.559,3691,14.928,17.3,0,D
00-0031076,David Fales,QB,25.109,6.985,84,4.153,17.3,0,D
00-0034370,DaeSean Hamilton,WR,24.926,3.834,1558,13.424,17.3,0,D
00-0034185,Tyler Lancaster,DL,24.918,3.511,1408,14.384,17.3,0,D
00-0035294,Blessuan Austin,DB,26.065,3.713,1136,14.926,17.3,0,D
00-0034999,Ty Summers,LB,25.836,3.919,328,14.078,17.3,1,D
00-0037845,A.J. Arcuri,OL,22.707,4.446,115,9.368,17.3,0,D
00-0031166,Seth Roberts,WR,25.459,4.021,2646,13.397,17.2,0,D
00-0032098,Daniel Brown,TE,25.655,4.331,817,12.663,17.2,0,D
00-0034363,Deadrin Senat,DL,26.211,3.949,585,14.364,17.2,0,D
00-0036440,Derrek Tuszka,LB,25.81,3.921,385,14.045,17.2,0,D
00-0036569,Gary Brightwell,RB,27.708,5.21,140,12.079,17.2,0,D
00-0035126,Antoine Wesley,WR,25.161,3.92,460,13.4,17.2,0,D
00-0036230,Prince Tega Wanogho,OL,24.141,7.361,73,2.059,17.2,0,D
00-0032967,Vernon Butler,DL,25.397,3.684,2033,14.343,17.1,0,D
00-0032143,Danny Shelton,DL,25.473,3.707,2694,14.352,17.1,0,D
00-0026293,Matthew Slater,WR,25.028,7.333,62,3.029,17.1,0,D
