game_id,play_id,passer_player_id,rusher_player_id,receiver_player_id
2016_01_CIN_NYJ,2345,00-0023682,,00-0027690
2016_01_CIN_NYJ,2367,00-0023682,,
2016_01_CIN_NYJ,2435,00-0027973,,
2016_01_CIN_NYJ,2454,,00-0030456,
2016_01_CIN_NYJ,2475,00-0027973,,00-0030456
2016_01_CIN_NYJ,2525,00-0023682,,00-0024334
2016_01_CIN_NYJ,2548,00-0023682,,00-0026184
2016_01_CIN_NYJ,2572,,00-0023682,
2016_01_CIN_NYJ,2598,00-0023682,,00-0026184
2016_01_CIN_NYJ,2623,00-0023682,,00-0028064
2016_01_CIN_NYJ,2665,00-0027973,,00-0027942
2016_01_CIN_NYJ,2689,,00-0031291,
2016_01_CIN_NYJ,2710,00-0027973,,00-0030456
2016_01_CIN_NYJ,2732,00-0027973,,00-0027681
2016_01_CIN_NYJ,2756,,00-0027973,
2016_01_CIN_NYJ,2795,00-0027973,,00-0027942
2016_01_CIN_NYJ,2819,,00-0031291,
2016_01_CIN_NYJ,2842,,00-0031301,
2016_01_CIN_NYJ,2864,,00-0031301,
2016_01_CIN_NYJ,2913,,00-0026184,
2016_01_CIN_NYJ,2934,,00-0026184,
2016_01_CIN_NYJ,2955,,00-0028064,
2016_01_CIN_NYJ,2976,,00-0028064,
2016_01_CIN_NYJ,2997,00-0023682,,00-0031023
2016_01_CIN_NYJ,3037,,00-0028064,
2016_01_CIN_NYJ,3058,,00-0026184,
2016_01_CIN_NYJ,3079,,00-0026184,
2016_01_CIN_NYJ,3100,,00-0023682,
2016_01_CIN_NYJ,3121,,00-0026184,
2016_01_CIN_NYJ,3143,00-0023682,,00-0027690
2016_01_CIN_NYJ,3200,,00-0030456,
2016_01_CIN_NYJ,3221,00-0027973,,00-0027942
2016_01_CIN_NYJ,3240,,00-0030456,
2016_01_CIN_NYJ,3268,00-0027973,,
2016_01_CIN_NYJ,3294,00-0027973,,00-0027942
2016_01_CIN_NYJ,3419,,00-0023682,
2016_01_CIN_NYJ,3440,00-0023682,,00-0031023
2016_01_CIN_NYJ,3464,,00-0026184,
2016_01_CIN_NYJ,3485,,00-0026184,
2016_01_CIN_NYJ,3523,00-0023682,,00-0027690
2016_01_CIN_NYJ,3547,,00-0026184,
2016_01_CIN_NYJ,3568,00-0023682,,00-0024334
2016_01_CIN_NYJ,3592,,00-0028064,
2016_01_CIN_NYJ,3656,00-0027973,,00-0027942
2016_01_CIN_NYJ,3681,,00-0031301,
2016_01_CIN_NYJ,3702,00-0027973,,00-0027942
2016_01_CIN_NYJ,3740,,00-0031301,
2016_01_CIN_NYJ,3763,00-0027973,,00-0031291
2016_01_CIN_NYJ,3804,,00-0031301,
2016_01_CIN_NYJ,3825,,00-0031301,
2016_01_CIN_NYJ,3863,00-0027973,,00-0027942
2016_01_CIN_NYJ,3939,00-0023682,,00-0024334
2016_01_CIN_NYJ,3961,00-0023682,,00-0027690
2016_01_CIN_NYJ,3983,00-0023682,,00-0027690
2016_01_CLE_PHI,59,,00-0027864,
2016_01_CLE_PHI,80,,00-0030465,
2016_01_CLE_PHI,124,00-0032950,,00-0031299
