player,gsis_id,bucket,rating_0_100,tier,n_eff
Darnell Savage,00-0034968,DB,53.2,B,5308
Anfernee Jennings,00-0036193,LB,53.2,B,2431
Jordan Addison,00-0038994,WR,53.2,B,2373
Broderick Jones,00-0039109,OL,53.1,B,2439
Justin Dedich,00-0039784,OL,53.1,B,710
Nate Landman,00-0037587,LB,53.0,B,2456
Cam Taylor-Britt,00-0037753,DB,53.0,B,2696
Cornelius Lucas,00-0030725,OL,52.9,B,3394
Dylan Parham,00-0037255,OL,52.9,B,3599
Bryan Cook,00-0037193,DB,52.8,B,2787
Anthony Walker,00-0033570,LB,52.7,B,4014
Roger McCreary,00-0038125,DB,52.7,B,2987
Matthew Judon,00-0032415,LB,52.6,B,5887
Joel Bitonio,00-0031426,OL,52.6,B,9702
Justice Hill,00-0034975,RB,52.6,B,1668
Dre'Mont Jones,00-0035678,LB,52.6,B,4071
Michael Hoecht,00-0035933,LB,52.6,B,2173
Dee Alford,00-0037034,DB,52.6,B,2005
Joe Flacco,00-0026158,QB,52.5,B,5195
Russell Wilson,00-0029263,QB,52.5,B,8687
John Jenkins,00-0030070,DL,52.5,B,3076
DeShon Elliott,00-0034277,DB,52.5,B,4275
Jamaree Salyer,00-0037295,OL,52.5,B,2921
Carson Wentz,00-0032950,QB,52.4,B,6340
Dan Skipper,00-0033863,OL,52.4,B,1052
Jalyn Holmes,00-0034264,DL,52.4,B,1556
Tommy Togiai,00-0036883,DL,52.4,B,1106
Brian Thomas Jr.,00-0039893,WR,52.4,B,1535
Jihaad Campbell,00-0040708,LB,52.4,B,671
Josaiah Stewart,00-0040580,LB,52.4,B,450
Adam Gotsis,00-0033064,DL,52.3,B,3202
Nick Vannett,00-0032394,TE,52.3,B,2572
Thomas Harper,00-0039660,DB,52.3,B,621
Andrew Billings,00-0033066,DL,52.2,B,3356
Daxton Hill,00-0037743,DB,52.2,B,2396
Karl Brooks,00-0038398,DL,52.2,B,1485
Jabrill Peppers,00-0033883,DB,52.1,B,5008
Cam Akers,00-0036414,RB,52.0,B,1373
Malik Willis,00-0038128,QB,52.0,B,513
Xavier Hutchinson,00-0038618,WR,52.0,B,1569
Marvin Harrison Jr.,00-0039849,WR,52.0,B,1351
Dawuane Smoot,00-0033907,DL,51.9,B,3606
C.J. Ham,00-0032918,RB,51.9,B,2174
Jack Conklin,00-0033057,OL,51.8,B,6911
Antonio Hamilton,00-0032933,DB,51.8,B,1694
Jackson Powers-Johnson,00-0039735,OL,51.8,B,1228
Bobby Hart,00-0031622,OL,51.7,B,4804
Cordale Flott,00-0037758,DB,51.7,B,2185
Kevin Austin Jr.,00-0037231,WR,51.7,B,535
Mike Jordan,00-0035266,OL,51.6,B,3350
Tyler Huntley,00-0035993,QB,51.6,B,1286
Jackson Hawes,00-0040194,TE,51.6,B,502
Hjalte Froholdt,00-0035258,OL,51.5,B,3743
Josh Myers,00-0036622,OL,51.5,B,4517
Jameson Williams,00-0037240,WR,51.5,B,2445
Chris Manhertz,00-0031484,TE,51.3,B,3064
Eric Stokes,00-0036901,DB,51.2,B,3031
Dorian Williams,00-0038557,LB,51.2,B,1309
Marcus Maye,00-0033892,DB,51.1,B,5228
Adam Trautman,00-0036422,TE,51.1,B,3457
Keion White,00-0039148,DL,51.1,B,1753
Russell Gage,00-0034411,WR,51.0,B,2445
Robert Hunt,00-0036325,OL,51.0,B,4492
Bryce Huff,00-0036151,DL,51.0,B,2057
Keeanu Benton,00-0039110,DL,51.0,B,1875
