nhl_game_id,team,is_home,pp_xgf,pp_shots
2013020946,EDM,1,0.3795,4
2013020946,NYI,0,0.0164,3
2013020947,PIT,0,0.9696,6
2013020947,SJS,1,2.0668,25
2013020948,CAR,1,0.8081,9
2013020948,NYR,0,0.7469,10
2013020949,DET,1,0.4724,5
2013020949,NJD,0,0.0377,5
2013020950,FLA,1,1.9531,19
2013020951,CGY,1,0.7799,5
2013020951,NYI,0,1.8807,6
2013020952,ANA,1,0.4146,6
2013020952,PIT,0,0.4879,8
2013020953,OTT,0,2.7933,9
2013020953,WPG,1,1.5928,22
2013020954,COL,1,0.8473,7
2013020955,PHI,0,0.1238,7
2013020955,TOR,1,0.1917,3
2013020956,BOS,0,0.0661,11
2013020957,CAR,0,0.7249,2
2013020957,NJD,1,0.5919,4
2013020958,ARI,0,0.9443,10
2013020958,WSH,1,1.3373,9
2013020959,CBJ,0,0.2159,14
2013020959,NSH,1,0.1693,4
2013020960,DAL,1,1.8231,12
2013020960,MIN,0,1.7116,10
2013020961,CGY,0,0.0898,9
2013020961,VAN,1,0.0332,1
2013020962,MTL,0,0.4592,5
2013020962,SJS,1,0.2794,4
2013020963,BOS,0,1.7888,15
2013020963,FLA,1,0.1796,5
2013020964,BUF,1,0.3529,6
2013020964,CHI,0,0.1028,8
2013020965,DET,0,0.0385,3
2013020965,NYR,1,0.4599,5
2013020966,MIN,1,0.0634,1
2013020966,STL,0,0.8483,4
2013020967,EDM,1,0.2558,4
2013020967,LAK,0,0.99,6
2013020968,PIT,0,0.4809,5
2013020968,WSH,1,0.8305,11
2013020969,NSH,0,0.0385,5
2013020970,ARI,0,0.0186,1
2013020970,TBL,1,0.8991,9
2013020971,CBJ,0,1.3885,10
2013020971,DAL,1,0.6829,11
2013020972,COL,1,0.5307,6
2013020972,WPG,0,0.9644,3
2013020973,CGY,1,0.0854,2
2013020973,LAK,0,0.0184,2
2013020974,NYI,0,1.6007,10
2013020974,VAN,1,1.638,12
2013020975,ANA,1,0.8454,15
2013020975,TOR,0,0.5619,3
2013020976,BUF,1,1.1075,10
2013020976,NSH,0,0.5202,3
2013020977,NJD,0,0.0404,5
2013020977,PHI,1,1.3586,16
2013020978,CAR,1,0.4916,10
2013020978,NYR,0,0.0076,1
2013020979,CBJ,1,0.5007,6
2013020979,DET,0,1.8634,11
2013020980,ARI,0,0.4974,4
2013020980,FLA,1,0.3188,5
2013020981,PIT,1,0.6327,7
2013020981,WSH,0,0.1261,7
2013020982,DAL,0,0.9434,3
2013020982,STL,1,0.5447,8
2013020983,EDM,0,0.0435,6
2013020983,MIN,1,1.1268,11
2013020984,SJS,1,1.0686,7
2013020984,TOR,0,0.0804,5
