date,away_nick,home_nick,p_away,p_home,captured
2021-04-29,Padres,Diamondbacks,0.528,0.47200000000000003,live
2021-05-02,Astros,Rays,0.505,0.495,live
2021-05-04,Pirates,Padres,0.374,0.626,live
2021-05-04,Orioles,Mariners,0.483,0.517,live
2021-05-04,Tigers,Red Sox,0.384,0.616,live
2021-05-04,Giants,Rockies,0.525,0.475,live
2021-05-04,Dodgers,Cubs,0.607,0.39299999999999996,live
2021-05-04,Rays,Angels,0.589,0.41100000000000003,live
2021-05-04,Astros,Yankees,0.483,0.517,live
2021-05-04,Braves,Nationals,0.5,0.5,live
2021-05-04,Rangers,Twins,0.409,0.591,live
2021-05-04,White Sox,Reds,0.46299999999999997,0.537,live
2021-05-04,Blue Jays,Athletics,0.498,0.502,live
2021-05-04,Dodgers,Cubs,0.5710000000000001,0.429,live
2021-05-04,Guardians,Royals,0.517,0.483,live
2021-05-04,Brewers,Phillies,0.445,0.555,live
2021-05-04,Diamondbacks,Marlins,0.46399999999999997,0.536,live
2021-05-05,Orioles,Mariners,0.498,0.502,live
2021-05-05,Rays,Angels,0.47700000000000004,0.523,live
2021-05-05,Giants,Rockies,0.524,0.47600000000000003,live
2021-05-05,Giants,Rockies,0.447,0.5529999999999999,live
2021-05-05,White Sox,Reds,0.461,0.539,live
2021-05-05,Guardians,Royals,0.488,0.512,live
2021-05-05,Orioles,Mariners,0.46799999999999997,0.532,live
2021-05-05,Pirates,Padres,0.35100000000000003,0.649,live
2021-05-05,Blue Jays,Athletics,0.45299999999999996,0.547,live
2021-05-06,Rays,Angels,0.515,0.485,live
2021-05-06,Diamondbacks,Marlins,0.43799999999999994,0.562,live
2021-05-07,Diamondbacks,Mets,0.466,0.534,live
2021-05-07,Rays,Angels,0.491,0.509,live
2021-05-08,Diamondbacks,Mets,0.40399999999999997,0.596,live
2021-05-08,Mariners,Rangers,0.504,0.496,live
2021-05-08,Rays,Athletics,0.45799999999999996,0.542,live
2021-05-08,Rays,Athletics,0.534,0.466,live
2021-05-09,Rays,Athletics,0.45299999999999996,0.547,live
2021-05-11,Yankees,Rays,0.527,0.473,live
2021-05-12,Marlins,Diamondbacks,0.49700000000000005,0.503,live
2021-05-12,Mariners,Dodgers,0.358,0.642,live
2021-05-13,Mariners,Dodgers,0.337,0.6629999999999999,live
2021-05-13,Marlins,Diamondbacks,0.469,0.531,live
2021-05-14,Mets,Rays,0.46399999999999997,0.536,live
2021-05-15,Nationals,Diamondbacks,0.585,0.415,live
2021-05-15,Guardians,Mariners,0.529,0.47100000000000003,live
2021-05-16,Cardinals,Padres,0.42100000000000004,0.579,live
2021-05-16,Cardinals,Padres,0.43200000000000005,0.568,live
2021-05-16,Marlins,Dodgers,0.319,0.6809999999999999,live
2021-05-16,Nationals,Diamondbacks,0.465,0.535,live
2021-05-16,Guardians,Mariners,0.569,0.431,live
2021-05-16,Nationals,Diamondbacks,0.552,0.44799999999999995,live
2021-05-16,Marlins,Dodgers,0.373,0.627,live
2021-05-18,Tigers,Mariners,0.435,0.565,live
