player,gsis_id,pos,z,conservative_z,n_duels
Tee Higgins,00-0036410,WR,-0.259,-0.69,210
Jameson Williams,00-0037240,WR,-0.249,-0.706,170
Terry McLaurin,00-0035659,WR,-0.281,-0.712,211
Romeo Doubs,00-0037816,WR,-0.274,-0.728,174
Jahmyr Gibbs,00-0039139,RB,0.477,-0.731,361
Christian McCaffrey,00-0033280,RB,0.435,-0.74,391
A.J. Brown,00-0035676,WR,-0.331,-0.742,247
Mitchell Trubisky,00-0033869,QB,0.409,-0.751,175
Mack Hollins,00-0033555,WR,-0.281,-0.757,145
Nico Collins,00-0036554,WR,-0.336,-0.762,219
AJ Barner,00-0039793,TE,-0.174,-0.764,100
Marcus Mariota,00-0032268,QB,0.21,-0.771,304
Hunter Henry,00-0033090,TE,-0.274,-0.778,194
Jalen Coker,00-0039491,WR,-0.243,-0.781,81
Kalif Raymond,00-0032464,WR,-0.267,-0.783,102
Jaylen Waddle,00-0036613,WR,-0.35,-0.784,207
Tyreek Hill,00-0033040,WR,-0.357,-0.788,210
Zay Flowers,00-0039064,WR,-0.372,-0.805,208
Jameis Winston,00-0031503,QB,0.217,-0.805,268
Mark Andrews,00-0034753,TE,-0.307,-0.811,193
Adam Thielen,00-0030035,WR,-0.355,-0.813,170
Christian Watson,00-0038124,WR,-0.33,-0.818,131
Darren Waller,00-0031610,TE,-0.242,-0.819,113
Colston Loveland,00-0040126,TE,-0.227,-0.819,98
Chris Godwin Jr.,00-0033921,WR,-0.374,-0.82,187
Michael Penix Jr.,00-0039917,QB,0.203,-0.822,266
Jayden Reed,00-0039146,WR,-0.34,-0.829,130
Ty Johnson,00-0035537,RB,0.67,-0.84,177
Daniel Bellinger,00-0038115,TE,-0.202,-0.845,61
Kirk Cousins,00-0029604,QB,0.057,-0.848,384
Devaughn Vele,00-0039424,WR,-0.303,-0.851,73
Brenton Strange,00-0038935,TE,-0.26,-0.856,95
Ja'Marr Chase,00-0036900,WR,-0.469,-0.861,285
James Cook,00-0037248,RB,0.322,-0.866,380
Kyren Williams,00-0037840,RB,0.32,-0.871,376
Isaiah Likely,00-0037838,TE,-0.305,-0.887,108
Dalton Schultz,00-0034383,TE,-0.397,-0.889,211
Kayshon Boutte,00-0038608,WR,-0.382,-0.896,104
Pat Freiermuth,00-0036894,TE,-0.36,-0.898,151
Jacoby Brissett,00-0033119,QB,-0.015,-0.903,405
Mike Evans,00-0031408,WR,-0.483,-0.912,214
Brian Thomas Jr.,00-0039893,WR,-0.45,-0.916,158
Bijan Robinson,00-0038542,RB,0.269,-0.918,379
Bryce Young,00-0039150,QB,-0.053,-0.92,432
Rashee Rice,00-0039067,WR,-0.445,-0.924,141
Khalil Shakir,00-0037261,WR,-0.48,-0.925,187
Courtland Sutton,00-0034348,WR,-0.516,-0.93,242
Austin Hooper,00-0032392,TE,-0.365,-0.93,124
Juwan Johnson,00-0036040,TE,-0.407,-0.934,165
DK Metcalf,00-0035640,WR,-0.516,-0.938,227
Jonathan Taylor,00-0036223,RB,0.242,-0.941,383
Marvin Harrison Jr.,00-0039849,WR,-0.456,-0.944,131
