game_id,team,st_epa_for,n_for,st_epa_against,n_against,fx_epa_for,fx_n_for,fx_epa_against,fx_n_against
1999_09_BUF_WAS,BUF,3.807445,6,5.426621,9,0.341857,6,-0.351812,4
1999_09_BUF_WAS,WAS,5.426621,9,3.807445,6,-0.351812,4,0.341857,6
1999_09_CHI_GB,CHI,2.839322,8,1.862450,8,-2.957901,3,-1.541789,4
1999_09_CHI_GB,GB,1.862450,8,2.839322,8,-1.541789,4,-2.957901,3
1999_09_CIN_SEA,CIN,-1.255872,11,5.047102,7,2.434270,4,2.258244,7
1999_09_CIN_SEA,SEA,5.047102,7,-1.255872,11,2.258244,7,2.434270,4
1999_09_DAL_MIN,DAL,-3.225617,12,-6.655853,10,-6.915314,5,-1.056219,6
1999_09_DAL_MIN,MIN,-6.655853,10,-3.225617,12,-1.056219,6,-6.915314,5
1999_09_DEN_SD,DEN,8.766034,8,2.336542,10,4.836439,7,1.831262,3
1999_09_DEN_SD,LAC,2.336542,10,8.766034,8,1.831262,3,4.836439,7
1999_09_JAX_ATL,ATL,-4.917400,13,-1.222638,6,0.027178,1,-1.235807,7
1999_09_JAX_ATL,JAX,-1.222638,6,-4.917400,13,-1.235807,7,0.027178,1
1999_09_KC_IND,IND,7.658876,6,1.316251,12,3.215234,5,-1.572676,4
1999_09_KC_IND,KC,1.316251,12,7.658876,6,-1.572676,4,3.215234,5
1999_09_PHI_CAR,CAR,9.622545,5,-0.605191,13,2.003230,7,0.030639,1
1999_09_PHI_CAR,PHI,-0.605191,13,9.622545,5,0.030639,1,2.003230,7
1999_09_PIT_SF,PIT,2.409034,8,4.128233,9,-2.070506,6,-1.759847,3
1999_09_PIT_SF,SF,4.128233,9,2.409034,8,-1.759847,3,-2.070506,6
1999_09_STL_DET,DET,1.490202,11,-0.095358,16,2.743006,5,0.413284,3
1999_09_STL_DET,LA,-0.095358,16,1.490202,11,0.413284,3,2.743006,5
1999_09_TB_NO,NO,-2.547127,9,6.187889,7,1.562245,4,-2.005781,6
1999_09_TB_NO,TB,6.187889,7,-2.547127,9,-2.005781,6,1.562245,4
1999_09_TEN_MIA,MIA,2.866987,8,7.543402,10,-0.117173,4,-3.197019,1
1999_09_TEN_MIA,TEN,7.543402,10,2.866987,8,-3.197019,1,-0.117173,4
1999_10_BAL_JAX,BAL,-3.049057,12,4.426764,11,0.137455,1,-2.095070,3
1999_10_BAL_JAX,JAX,4.426764,11,-3.049057,12,-2.095070,3,0.137455,1
1999_10_CAR_STL,CAR,-1.634831,11,0.559811,8,0.153423,2,0.135891,5
1999_10_CAR_STL,LA,0.559811,8,-1.634831,11,0.135891,5,0.153423,2
1999_10_CLE_PIT,CLE,0.287658,13,2.262542,9,0.839455,2,3.572033,3
1999_10_CLE_PIT,PIT,2.262542,9,0.287658,13,3.572033,3,0.839455,2
1999_10_DEN_SEA,DEN,-0.540721,10,-3.346492,8,0.184960,3,1.774357,4
1999_10_DEN_SEA,SEA,-3.346492,8,-0.540721,10,1.774357,4,0.184960,3
1999_10_DET_ARI,ARI,2.521122,9,-1.263887,12,-0.526966,7,-1.714159,2
1999_10_DET_ARI,DET,-1.263887,12,2.521122,9,-1.714159,2,-0.526966,7
1999_10_GB_DAL,DAL,-0.871613,8,-1.885523,11,0.086727,6,-2.816223,4
1999_10_GB_DAL,GB,-1.885523,11,-0.871613,8,-2.816223,4,0.086727,6
1999_10_IND_NYG,IND,-1.966734,10,-1.366359,11,1.706406,5,2.002217,3
1999_10_IND_NYG,NYG,-1.366359,11,-1.966734,10,2.002217,3,1.706406,5
1999_10_KC_TB,KC,1.820958,13,1.069303,9,-2.809858,3,0.245330,3
1999_10_KC_TB,TB,1.069303,9,1.820958,13,0.245330,3,-2.809858,3
1999_10_MIA_BUF,BUF,-0.637104,6,0.150882,14,1.578994,6,0.381424,1
1999_10_MIA_BUF,MIA,0.150882,14,-0.637104,6,0.381424,1,1.578994,6
1999_10_MIN_CHI,CHI,4.986062,12,2.188316,10,-1.948726,4,-1.170644,6
1999_10_MIN_CHI,MIN,2.188316,10,4.986062,12,-1.170644,6,-1.948726,4
1999_10_NYJ_NE,NE,5.721772,9,5.053056,11,0.191932,3,0.289578,4
1999_10_NYJ_NE,NYJ,5.053056,11,5.721772,9,0.289578,4,0.191932,3
1999_10_SD_OAK,LAC,6.896590,10,3.382444,6,0.884478,1,-2.485089,4
1999_10_SD_OAK,LV,3.382444,6,6.896590,10,-2.485089,4,0.884478,1
1999_10_SF_NO,NO,-0.951919,5,0.683514,9,0.081535,3,2.281811,2
